City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Scarborough,54.2797,-0.4044,288.45,88,97,3.01,GB,1627270744
Fortuna,40.5982,-124.1573,286.44,92,90,3.09,US,1627270744
Livingston,55.9029,-3.5226,289.38,93,90,1.03,GB,1627270744
Fort-Shevchenko,44.5086,50.263,302.44,47,2,7.82,KZ,1627270744
Pemba,-12.974,40.5178,291.54,88,20,3.6,MZ,1627270606
Kumluca,36.3703,30.2869,301.31,43,1,2.14,TR,1627270745
Bonavista,48.6499,-53.1147,286.55,93,10,3.69,CA,1627270257
Xining,36.6167,101.7667,288.87,66,100,3.5,CN,1627270745
Midland,31.9974,-102.0779,302.03,62,40,2.06,US,1627270745
Chegutu,-18.1302,30.1407,279.09,73,0,3.96,ZW,1627270746
Maceió,-9.6658,-35.7353,295.84,83,75,2.57,BR,1627270746
Moose Factory,51.2585,-80.6094,286.15,94,90,3.09,CA,1627270746
Kavaratti,10.5669,72.642,300.65,79,100,9.02,IN,1627270747
East London,-33.0153,27.9116,287.67,30,0,5.14,ZA,1627270747
Mitsukaidō,36.0167,139.9833,305.82,35,80,4.07,JP,1627270747
Krasnoarmeysk,51.0239,45.6969,292.68,52,17,1.46,RU,1627270747
Guanare,9.0418,-69.7421,295.68,97,100,0.63,VE,1627270748
Kavieng,-2.5744,150.7967,301.72,68,36,1.67,PG,1627270748
Houma,29.5958,-90.7195,302.59,85,8,2.23,US,1627270451
Katsuura,35.1333,140.3,303.25,57,79,8.6,JP,1627270748
Liepāja,56.5419,21.0367,291.18,82,54,2.57,LV,1627270749
Barkhan,29.8977,69.5256,305.54,39,46,1.76,PK,1627270749
Tanete,-3.9443,119.7848,304.67,48,42,5.2,ID,1627270749
Acajutla,13.5928,-89.8275,306.34,83,87,2.01,SV,1627270749
Madison,34.7334,-86.5667,299.12,91,20,0.89,US,1627270750
Beaverlodge,55.2166,-119.4361,291.79,59,93,3.38,CA,1627270750
Coyhaique,-45.5752,-72.0662,273.12,80,0,2.06,CL,1627270750
Charter Township of Clinton,42.587,-82.9199,299.16,69,75,0.89,US,1627270636
Cape Town,-33.9258,18.4232,289.32,27,0,1.03,ZA,1627270563
Kiryat Gat,31.61,34.7642,298.93,80,33,1.61,IL,1627270549
Hanyang,32.1371,105.5126,301.34,66,8,3.1,CN,1627270751
Kui Buri,12.0828,99.8543,305.3,56,97,4.98,TH,1627270752
Vila Velha,-20.3297,-40.2925,290.12,94,0,0.0,BR,1627270752
Mabaruma,8.2,-59.7833,294.81,99,100,0.91,GY,1627270752
Nishihara,26.1842,127.7558,303.96,89,75,5.14,JP,1627270752
Kissidougou,9.1848,-10.0999,292.97,99,91,1.42,GN,1627270753
Mackay,-21.15,149.2,297.97,53,51,7.72,AU,1627270753
Safi,32.2994,-9.2372,293.01,92,0,5.75,MA,1627270753
Palu,-0.8917,119.8707,306.06,50,17,1.31,ID,1627270754
Nioro,13.35,-15.75,297.08,82,53,2.2,GM,1627270754
Tiznit Province,29.5833,-9.5,295.3,51,0,1.09,MA,1627270754
Port Hawkesbury,45.6169,-61.3485,291.31,85,75,1.34,CA,1627270754
Kedrovyy,56.1667,91.8167,296.38,46,58,0.92,RU,1627270755
Mangai,-4.05,19.5333,293.61,42,64,0.62,CD,1627270755
Manoel Urbano,-8.8389,-69.2597,296.99,73,83,0.98,BR,1627270613
Tulun,54.5611,100.5792,299.53,39,50,3.76,RU,1627270755
Portland,45.5234,-122.6762,302.47,51,20,1.79,US,1627270106
Los Andes,-32.8337,-70.5983,282.36,84,3,0.62,CL,1627270756
Safford,32.834,-109.7076,299.29,83,20,4.63,US,1627270756
Petropavlovsk-Kamchatskiy,53.0452,158.6483,297.48,61,0,4.0,RU,1627270756
Dikson,73.5069,80.5464,280.54,75,38,0.55,RU,1627270756
Polunochnoye,60.8697,60.4153,288.67,52,49,3.93,RU,1627270757
Kamiiso,41.8167,140.65,299.36,65,40,7.2,JP,1627270757
Carnarvon,-24.8667,113.6333,292.19,57,90,3.6,AU,1627270638
Mataura,-46.1927,168.8643,282.86,89,100,0.46,NZ,1627270757
Vanimo,-2.6741,141.3028,303.18,58,52,1.8,PG,1627270571
Bartica,6.4,-58.6167,297.33,99,100,0.3,GY,1627270758
Caramay,10.1815,119.236,304.77,58,98,3.8,PH,1627270758
Qazvin,36.2797,50.0049,295.94,73,0,1.03,IR,1627270758
Porto-Vecchio,41.591,9.2795,298.85,78,0,2.06,FR,1627270758
Woodward,36.4337,-99.3904,299.72,69,1,4.12,US,1627270759
Barrow,71.2906,-156.7887,277.16,97,90,6.69,US,1627270554
Antofagasta,-23.65,-70.4,286.75,84,47,3.26,CL,1627270759
Morąg,53.9171,19.926,292.96,85,77,2.99,PL,1627270759
Merauke,-8.4667,140.3333,300.27,67,96,3.89,ID,1627270760
Volchansk,59.9378,60.081,287.82,55,98,4.26,RU,1627270760
Tura,25.5198,90.2201,302.06,76,100,2.28,IN,1627270760
Butaritari,3.0707,172.7902,298.99,87,100,5.89,KI,1627270760
Villa Constitución,-33.2278,-60.3297,285.31,84,0,2.15,AR,1627270761
Kharovsk,59.9642,40.1912,288.7,71,95,3.0,RU,1627270761
Verkhnevilyuysk,63.4453,120.3167,303.77,35,1,3.74,RU,1627270761
Sibu,2.3,111.8167,305.32,66,40,0.89,MY,1627270762
Itoman,26.1247,127.6694,304.36,87,75,6.17,JP,1627270762
Dongli,23.5656,116.8194,308.14,52,0,2.0,CN,1627270762
Berlevåg,70.8578,29.0864,280.15,77,97,7.95,NO,1627270762
Puerto Nariño,-3.7703,-70.3831,297.12,98,67,1.03,CO,1627270763
Sorsk,54.0033,90.2467,294.95,70,87,2.0,RU,1627270763
Sitka,57.0531,-135.33,287.09,77,75,2.06,US,1627270763
Zyryanka,65.75,150.85,287.79,47,100,4.16,RU,1627270763
Novolabinskaya,45.1096,39.894,297.78,56,0,5.8,RU,1627270764
Rosetta,31.4044,30.4164,298.05,75,0,2.85,EG,1627270764
Blytheville,35.9273,-89.919,301.19,78,1,0.0,US,1627270764
Boende,-0.2167,20.8667,295.44,71,61,1.21,CD,1627270765
Tucumã,-0.1833,-50.05,297.63,87,24,2.44,BR,1627270765
Deputatsky,69.3,139.9,288.88,49,98,2.11,RU,1627270765
Jaisalmer,26.9147,70.9181,304.71,56,79,9.15,IN,1627270765
Teeli,51.0333,90.2333,296.53,49,93,2.19,RU,1627270766
Ibicuí,-14.8417,-39.9867,288.61,96,33,1.48,BR,1627270766
Cockburn Town,21.4612,-71.1419,301.07,83,71,8.44,TC,1627270765
Yasnyy,51.0333,59.8742,293.1,49,0,4.03,RU,1627270766
Puerto Escondido,15.85,-97.0667,302.61,65,75,2.06,MX,1627270767
